"Global X MSCI China Financials ETF",,,,,
Date,"Closing Price","Daily Change","Daily Change %",Premium/Discount,"Premium/Discount %"
12/21/15,--,--,--,-0.11,-0.72
12/18/15,--,--,--,-0.04,-0.25
12/17/15,--,--,--,-0.28,-1.90
12/16/15,--,--,--,0.07,0.46
12/15/15,--,--,--,0.10,0.74
12/14/15,--,--,--,-0.08,-0.55
12/11/15,--,--,--,-0.38,-2.73
12/10/15,--,--,--,-0.17,-1.20
12/9/15,--,--,--,-0.18,-1.23
12/8/15,--,--,--,-0.15,-1.02
12/7/15,--,--,--,-0.11,-0.76
12/4/15,--,--,--,0.06,0.38
12/3/15,--,--,--,-0.29,-1.97
12/2/15,--,--,--,-0.24,-1.63
12/1/15,--,--,--,0.03,0.19
11/30/15,--,--,--,0.12,0.86
11/27/15,--,--,--,-0.01,-0.09
11/25/15,--,--,--,-0.03,-0.19
11/24/15,--,--,--,-0.02,-0.13
11/23/15,--,--,--,-0.10,-0.68
11/20/15,--,--,--,-0.04,-0.24
11/19/15,--,--,--,-0.10,-0.64
11/18/15,--,--,--,0.02,0.17
11/17/15,--,--,--,-0.07,-0.48
11/16/15,--,--,--,0.18,1.24
11/13/15,--,--,--,-0.34,-2.28
11/12/15,--,--,--,-0.37,-2.46
11/11/15,--,--,--,-0.06,-0.43
11/10/15,--,--,--,-0.14,-0.96
11/9/15,--,--,--,-0.32,-2.13
