Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
02/09/2016,ProShares Ultra MSCI Emerging Markets,EET,36.37,37.48,-2.96158,-1.11,325,11820250
02/08/2016,ProShares Ultra MSCI Emerging Markets,EET,37.48,38.54,-2.75039,-1.06,325,12181000
02/05/2016,ProShares Ultra MSCI Emerging Markets,EET,38.54,39.45,-2.30672,-0.91,325,12525500
02/04/2016,ProShares Ultra MSCI Emerging Markets,EET,39.45,38.86,1.51827,0.59,325,12821250
02/03/2016,ProShares Ultra MSCI Emerging Markets,EET,38.86,36.77,5.68398,2.09,325,12629500
02/02/2016,ProShares Ultra MSCI Emerging Markets,EET,36.77,39.32,-6.48525,-2.55,325,11950250
02/01/2016,ProShares Ultra MSCI Emerging Markets,EET,39.32,40.11,-1.96958,-0.79,325,12779000
01/29/2016,ProShares Ultra MSCI Emerging Markets,EET,40.11,37.65,6.53386,2.46,325,13035750
01/28/2016,ProShares Ultra MSCI Emerging Markets,EET,37.65,36.49,3.17895,1.16,325,12236250
01/27/2016,ProShares Ultra MSCI Emerging Markets,EET,36.49,36.75,-0.70748,-0.26,325,11859250
01/26/2016,ProShares Ultra MSCI Emerging Markets,EET,36.75,35.66,3.05665,1.09,325,11943750
01/25/2016,ProShares Ultra MSCI Emerging Markets,EET,35.66,36.97,-3.54341,-1.31,325,11589500
01/22/2016,ProShares Ultra MSCI Emerging Markets,EET,36.97,34.61,6.81884,2.36,325,12015250
01/21/2016,ProShares Ultra MSCI Emerging Markets,EET,34.61,34.34,0.78626,0.27,325,11248250
01/20/2016,ProShares Ultra MSCI Emerging Markets,EET,34.34,35.92,-4.39866,-1.58,325,11160500
01/19/2016,ProShares Ultra MSCI Emerging Markets,EET,35.92,34.86,3.04073,1.06,325,11674000
01/15/2016,ProShares Ultra MSCI Emerging Markets,EET,34.86,37.89,-7.99683,-3.03,325,11329500
01/14/2016,ProShares Ultra MSCI Emerging Markets,EET,37.89,36.9,2.68293,0.99,325,12314250
01/13/2016,ProShares Ultra MSCI Emerging Markets,EET,36.9,37.7,-2.12202,-0.8,325,11992500
01/12/2016,ProShares Ultra MSCI Emerging Markets,EET,37.7,37.55,0.39947,0.15,325,12252500
01/11/2016,ProShares Ultra MSCI Emerging Markets,EET,37.55,37.6,-0.13298,-0.05,325,12203750
01/08/2016,ProShares Ultra MSCI Emerging Markets,EET,37.6,38.43,-2.15977,-0.83,325,12220000
01/07/2016,ProShares Ultra MSCI Emerging Markets,EET,38.43,40.94,-6.13092,-2.51,325,12489750
01/06/2016,ProShares Ultra MSCI Emerging Markets,EET,40.94,42.6,-3.89671,-1.66,325,13305500
01/05/2016,ProShares Ultra MSCI Emerging Markets,EET,42.6,42.41,0.44801,0.19,325,13845000
01/04/2016,ProShares Ultra MSCI Emerging Markets,EET,42.41,44.88,-5.50357,-2.47,325,13783250
12/31/2015,ProShares Ultra MSCI Emerging Markets,EET,44.88,45.16,-0.62002,-0.28,325,14586000
12/30/2015,ProShares Ultra MSCI Emerging Markets,EET,45.16,46.61,-3.11092,-1.45,325,14677000
12/29/2015,ProShares Ultra MSCI Emerging Markets,EET,46.61,46.53,0.17193,0.08,325,15148250
12/28/2015,ProShares Ultra MSCI Emerging Markets,EET,46.53,47.19,-1.39860,-0.66,325,15122250
12/24/2015,ProShares Ultra MSCI Emerging Markets,EET,47.19,47.54,-0.73622,-0.35,325,15336750
12/23/2015,ProShares Ultra MSCI Emerging Markets,EET,47.54,46.21,2.87816,1.33,325,15450500
12/22/2015,ProShares Ultra MSCI Emerging Markets,EET,46.21,45.52,1.51582,0.69,325,15018250
