Date,ProShares Name,Ticker,NAV,Prior NAV,NAV Change (%),NAV Change ($),Shares Outstanding (000),Assets Under Management
11/07/2011,ProShares Short FTSE China 50,YXI,42.42,43.04,-1.44052,-0.62,250,10605042.42
11/04/2011,ProShares Short FTSE China 50,YXI,43.04,42.65,0.91442,0.39,250,10760043.04
11/03/2011,ProShares Short FTSE China 50,YXI,42.65,43.38,-1.68280,-0.73,250,10662542.65
11/02/2011,ProShares Short FTSE China 50,YXI,43.38,45.88,-5.44900,-2.5,250,10845043.38
11/01/2011,ProShares Short FTSE China 50,YXI,45.88,45.19,1.52689,0.69,300,13764045.88
10/31/2011,ProShares Short FTSE China 50,YXI,45.19,43.23,4.53389,1.96,300,13557045.19
10/28/2011,ProShares Short FTSE China 50,YXI,43.23,42.76,1.09916,0.47,300,12969043.23
10/27/2011,ProShares Short FTSE China 50,YXI,42.76,45.38,-5.77347,-2.62,300,12828042.76
10/26/2011,ProShares Short FTSE China 50,YXI,45.38,47.3,-4.05920,-1.92,300,13614045.38
10/25/2011,ProShares Short FTSE China 50,YXI,47.3,46.57,1.56753,0.73,300,14190047.3
10/24/2011,ProShares Short FTSE China 50,YXI,46.57,49.26,-5.46082,-2.69,300,13971046.57
10/21/2011,ProShares Short FTSE China 50,YXI,49.26,50.65,-2.74432,-1.39,300,14778049.26
10/20/2011,ProShares Short FTSE China 50,YXI,50.65,49.83,1.64560,0.82,300,15195050.65
10/19/2011,ProShares Short FTSE China 50,YXI,49.83,48.4,2.95455,1.43,300,14949049.83
10/18/2011,ProShares Short FTSE China 50,YXI,48.4,49.24,-1.70593,-0.84,300,14520048.4
10/17/2011,ProShares Short FTSE China 50,YXI,49.24,47.72,3.18525,1.52,300,14772049.24
10/14/2011,ProShares Short FTSE China 50,YXI,47.72,48.23,-1.05743,-0.51,300,14316047.72
10/13/2011,ProShares Short FTSE China 50,YXI,48.23,47.67,1.17474,0.56,300,14469048.23
10/12/2011,ProShares Short FTSE China 50,YXI,47.67,49.72,-4.12309,-2.05,300,14301047.67
10/11/2011,ProShares Short FTSE China 50,YXI,49.72,50.71,-1.95228,-0.99,300,14916049.72
10/10/2011,ProShares Short FTSE China 50,YXI,50.71,53.6,-5.39179,-2.89,300,15213050.71
10/07/2011,ProShares Short FTSE China 50,YXI,53.6,52.93,1.26582,0.67,300,16080053.6
10/06/2011,ProShares Short FTSE China 50,YXI,52.93,53.69,-1.41553,-0.76,300,15879052.93
10/05/2011,ProShares Short FTSE China 50,YXI,53.69,56.01,-4.14212,-2.32,300,16107053.69
